PT_num,part_type
0,4WD Front Axle Actuators
1,A/C & Heater Actuators
2,A/C Brackets
3,A/C Compressor Clutches
4,A/C Compressors
5,A/C Condensers
6,A/C Driers and Accumulators
7,A/C Eliminator Brackets
8,A/C Evaporator Cores
9,A/C Harness
10,A/C Hoses and Lines
11,A/C Replacement O-Rings and Seals
12,A/C System Expansion Valves
13,ABS Control Modules
14,ABS Pumps Covers
15,ABS Reluctor Rings
16,ABS Sensor Plugs
17,ABS Speed Sensors
18,ABS Wheel Speed Sensor Harnesses
19,AC Power Supply
20,AIR Check Valves
21,AIR Pumps
22,AN Hoses
23,AN Tube Nuts
24,AN Wrenches
25,AN to Hose Barb Fittings
26,AN to Inverted Flare Fittings
27,AN to Metric Adapter Fittings
28,AN to NPT Fittings
29,AN to Straight Cut O-Ring Fittings
30,AN to Tube Adapter Fittings
31,Accelerator Pedal Position Sensors
32,Accessory Belt Tensioner Dress-Up Covers
33,Accessory Belt Tensioner Mounting Brackets
34,Accessory Belt Tensioners
35,Accessory Belts
36,Accessory Drive Kits
37,Accessory Drive Pulleys
38,Adhesives & Sealants
39,Air Bag Components
40,Air Bag Helper Spring Spacers
41,Air Chucks
42,Air Cleaner Assembly Retaining Clips
43,Air Cleaner Bottoms
44,Air Cleaner Gaskets
45,Air Cleaner Replacement Components
46,Air Cleaner Studs
47,Air Cleaner Tops
48,Air Cleaners
49,Air Compressor - On-Board Installation Kits
50,Air Compressor Components
51,Air Compressor Hoses
52,Air Compressor Line Filters
53,Air Compressor Oil
54,Air Compressor Replacement Filters
55,Air Compressor Safety Valves
56,Air Compressors
57,Air Compressors - Suspension
58,Air Dams
59,Air Deflectors
60,Air Diffusers - Rear
61,Air Filter Assembly Adapters
62,Air Filter Assembly Shrouds
63,Air Filter Assembly Spacers
64,Air Filter Assembly Vents
65,Air Filter Assembly Wingnuts & Fasteners
66,Air Filter Cleaners & Oil
67,Air Filter Element Heat Shields
68,Air Filter Elements
69,Air Filter Elements;Cabin Air Filter Elements
70,Air Filter Service Indicators
71,Air Filter Wraps & Prefilters
72,Air Flow Enhancers
73,Air Inlet Adapters
74,Air Inlet Elbows
75,Air Intake Air Box Covers
76,Air Intake Bypass Valves
77,Air Intake Heaters
78,Air Intake Kit Components
79,Air Intake Kit Mock-Up Inserts
80,Air Intake Kits
81,Air Intake Mounting Brackets
82,Air Intake Sensor Fittings
83,Air Intake Snorkel Components
84,Air Intake Snorkels
85,Air Intake Tube Adapters
86,Air Intake Tubes
87,Air Intake Velocity Funnels
88,Air Locker Components
89,Air Lockers
